broker_name	PRIMARY_ID	EXTERNAL_ID	SUBMITTER_ID	TITLE	TAXON_ID	SCIENTIFIC_NAME	COMMON_NAME	ENA-STUDY	ENA-EXPERIMENT	ENA-RUN	ENA-SUBMISSION	ENA-FASTQ-FILES	ENA-SUBMITTED-FILES	source_name	treatment	cell type	ENA-SPOT-COUNT	ENA-BASE-COUNT	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE
NCBI	SRS4617844	SAMN11406649	GSM3721193	RMS205	10090	Mus musculus	house mouse	SRP192396	SRX5676213	SRR8890535	SRA873539	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617844&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617844&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Skin	Propionibacterium acnes infection	Skin CD103+DC	1029102	51455100	2019-04-14	2019-04-14
NCBI	SRS4617900	SAMN11406650	GSM3721249	RMS362	10090	Mus musculus	house mouse	SRP192396	SRX5676269	SRR8890600	SRA873539	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617900&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617900&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Skin	Propionibacterium acnes infection	Skin CD103+DC	2376941	118847050	2019-04-14	2019-04-14
NCBI	SRS4617899	SAMN11406651	GSM3721248	RMS354	10090	Mus musculus	house mouse	SRP192396	SRX5676268	SRR8890599	SRA873539	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617899&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617899&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Skin	Propionibacterium acnes infection	Skin CD103+DC	2493293	124664650	2019-04-14	2019-04-14
NCBI	SRS4617898	SAMN11406652	GSM3721247	RMS353	10090	Mus musculus	house mouse	SRP192396	SRX5676267	SRR8890598	SRA873539	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617898&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617898&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Skin	Propionibacterium acnes infection	Skin CD103+DC	2688681	134434050	2019-04-14	2019-04-14
NCBI	SRS4617897	SAMN11406653	GSM3721246	RMS350	10090	Mus musculus	house mouse	SRP192396	SRX5676266	SRR8890597	SRA873539	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617897&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617897&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Skin	Propionibacterium acnes infection	Skin CD103+DC	2542123	127106150	2019-04-14	2019-04-14
NCBI	SRS4617896	SAMN11406654	GSM3721245	RMS349	10090	Mus musculus	house mouse	SRP192396	SRX5676265	SRR8890596	SRA873539	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617896&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617896&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Skin	Propionibacterium acnes infection	Skin CD103+DC	2621605	131080250	2019-04-14	2019-04-14
NCBI	SRS4617895	SAMN11406655	GSM3721244	RMS348	10090	Mus musculus	house mouse	SRP192396	SRX5676264	SRR8890595	SRA873539	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617895&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617895&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Skin	Propionibacterium acnes infection	Skin CD103+DC	2513613	125680650	2019-04-14	2019-04-14
NCBI	SRS4617894	SAMN11406656	GSM3721243	RMS346	10090	Mus musculus	house mouse	SRP192396	SRX5676263	SRR8890594	SRA873539	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617894&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617894&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Skin	Propionibacterium acnes infection	Skin CD103+DC	2536947	126847350	2019-04-14	2019-04-14
NCBI	SRS4617893	SAMN11406657	GSM3721242	RMS345	10090	Mus musculus	house mouse	SRP192396	SRX5676262	SRR8890593	SRA873539	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617893&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617893&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Skin	Propionibacterium acnes infection	Skin CD103+DC	2443139	122156950	2019-04-14	2019-04-14
NCBI	SRS4617892	SAMN11406658	GSM3721241	RMS343	10090	Mus musculus	house mouse	SRP192396	SRX5676261	SRR8890592	SRA873539	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617892&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617892&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Skin	Propionibacterium acnes infection	Skin CD103+DC	1798746	89937300	2019-04-14	2019-04-14
NCBI	SRS4617891	SAMN11406659	GSM3721240	RMS341	10090	Mus musculus	house mouse	SRP192396	SRX5676260	SRR8890591	SRA873539	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617891&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617891&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Skin	Propionibacterium acnes infection	Skin CD103+DC	2288527	114426350	2019-04-14	2019-04-14
